race_id,venue_slug,date,race_no,lineup,ni_sha_tan,san_ren_tan,san_ren_fuku,wide,banum,player_name,pref,age,term,player_class,running_style,gear,race_score,mark,mark_num,win_rate_4m,top2_rate_4m,top3_rate_4m,nige_4m,maku_4m,rank,agari,finish_type,margin,win_lose,close_time
1120260530030001,hakodate,2026-05-30,1,◎1 ×4 注5 △2 ○3,,,,,1,阿部 龍也  山,口,33,119,A3,逃,3.92,67.83,◎,6,26.6,30.0,33.3,6,0,,,,,,
1120260530030001,hakodate,2026-05-30,1,◎1 ×4 注5 △2 ○3,,,,,2,三木 翔太  群,馬,37,95,A3,両,3.92,67.91,△,4,4.1,16.6,37.5,0,0,,,,,,
1120260530030001,hakodate,2026-05-30,1,◎1 ×4 注5 △2 ○3,,,,,3,鈴木 豪  福,島,39,105,A3,両,3.85,68.12,○,5,4.1,12.5,29.1,0,0,,,,,,
1120260530030001,hakodate,2026-05-30,1,◎1 ×4 注5 △2 ○3,,,,,4,田口 守  山,口,38,94,A3,両,3.92,66.5,×,1,8.0,16.0,16.0,2,0,,,,,,
1120260530030001,hakodate,2026-05-30,1,◎1 ×4 注5 △2 ○3,,,,,5,横瀬 聡  福,岡,54,69,A3,追,3.92,66.78,注,2,9.3,12.5,25.0,0,0,,,,,,
1120260530030002,hakodate,2026-05-30,2,◎4 ○5 注1 △2 ×3 ▲6,,,,,1,梶原 亜湖  静,岡,55,73,A3,追,3.85,66.3,注,2,0.0,3.3,23.3,0,0,,,,,,
1120260530030002,hakodate,2026-05-30,2,◎4 ○5 注1 △2 ×3 ▲6,,,,,2,近藤 直幹  徳,島,52,75,A3,追,3.92,71.24,△,4,7.3,31.7,58.5,0,0,,,,,,
1120260530030002,hakodate,2026-05-30,2,◎4 ○5 注1 △2 ×3 ▲6,,,,,3,秋永 昂人  福,岡,39,98,A3,両,3.86,68.2,×,1,6.4,16.1,35.4,0,0,,,,,,
1120260530030002,hakodate,2026-05-30,2,◎4 ○5 注1 △2 ×3 ▲6,,,,,4,高橋 明久  宮,城,45,98,A3,逃,3.92,71.66,◎,6,13.6,18.1,40.9,1,1,,,,,,
1120260530030002,hakodate,2026-05-30,2,◎4 ○5 注1 △2 ×3 ▲6,,,,,5,戸ノ下 太郎  千,葉,50,76,A3,追,3.85,68.37,○,5,6.8,20.6,34.4,0,0,,,,,,
1120260530030002,hakodate,2026-05-30,2,◎4 ○5 注1 △2 ×3 ▲6,,,,,6,原 司  佐,賀,54,70,A3,追,3.85,63.88,▲,3,0.0,4.0,4.0,0,0,,,,,,
1120260530030003,hakodate,2026-05-30,3,×4 注7 ▲1 ◎2 ○5 △6,,,,,1,吉橋 秀城  埼,玉,47,85,A3,追,3.92,69.42,,0,6.0,24.2,33.3,0,0,,,,,,
1120260530030003,hakodate,2026-05-30,3,×4 注7 ▲1 ◎2 ○5 △6,,,,,2,鈴木 康平  静,岡,31,123,A3,逃,3.86,70.0,▲,3,8.6,30.4,52.1,6,1,,,,,,
1120260530030003,hakodate,2026-05-30,3,×4 注7 ▲1 ◎2 ○5 △6,,,,,3,勝部 貴博  福,岡,37,105,A3,両,3.83,70.39,△,4,15.1,36.3,48.4,7,2,,,,,,
