race_id,venue_slug,date,race_no,lineup,ni_sha_tan,san_ren_tan,san_ren_fuku,wide,banum,player_name,pref,age,term,player_class,running_style,gear,race_score,mark,mark_num,win_rate_4m,top2_rate_4m,top3_rate_4m,nige_4m,maku_4m,rank,agari,finish_type,margin,win_lose,close_time
1220260730030001,aomori,2026-08-01,1,○7 ◎2 △3 ×1 注5 ▲6,2-7  320円(1),"2-7-5  1,840円(4)",2=5=7  640円(3),2=5  260円(3)  2=7  140円(2)  5=7  570円(8) / 2=5  260円(3)  2=7  140円(2)  5=7  570円(8),1,増成 富夫  岡,山,55,66,A3,逃,3.93,69.63,×,1,20.0,36.6,43.3,4,3,6,12.5,,３/４車身,,
1220260730030001,aomori,2026-08-01,1,○7 ◎2 △3 ×1 注5 ▲6,2-7  320円(1),"2-7-5  1,840円(4)",2=5=7  640円(3),2=5  260円(3)  2=7  140円(2)  5=7  570円(8) / 2=5  260円(3)  2=7  140円(2)  5=7  570円(8),2,山本 恵太郎  東,京,52,71,A3,追,3.92,81.9,◎,6,9.6,29.0,38.7,0,0,1,12.4,差,,,
1220260730030001,aomori,2026-08-01,1,○7 ◎2 △3 ×1 注5 ▲6,2-7  320円(1),"2-7-5  1,840円(4)",2=5=7  640円(3),2=5  260円(3)  2=7  140円(2)  5=7  570円(8) / 2=5  260円(3)  2=7  140円(2)  5=7  570円(8),3,邊見 斎  福,島,41,92,A3,追,3.92,72.93,△,4,9.3,28.1,59.3,0,0,7,12.6,,１車身,,
1220260730030001,aomori,2026-08-01,1,○7 ◎2 △3 ×1 注5 ▲6,2-7  320円(1),"2-7-5  1,840円(4)",2=5=7  640円(3),2=5  260円(3)  2=7  140円(2)  5=7  570円(8) / 2=5  260円(3)  2=7  140円(2)  5=7  570円(8),4,田中 智也  静,岡,53,74,A3,追,3.92,69.47,,0,0.0,4.7,33.3,0,0,5,12.2,,３/４車輪,,
1220260730030001,aomori,2026-08-01,1,○7 ◎2 △3 ×1 注5 ▲6,2-7  320円(1),"2-7-5  1,840円(4)",2=5=7  640円(3),2=5  260円(3)  2=7  140円(2)  5=7  570円(8) / 2=5  260円(3)  2=7  140円(2)  5=7  570円(8),5,鳥丸 晃順  岡,山,45,89,A3,追,3.93,73.64,注,2,13.7,31.0,51.7,0,0,3,12.3,,１/４車輪,,
1220260730030001,aomori,2026-08-01,1,○7 ◎2 △3 ×1 注5 ▲6,2-7  320円(1),"2-7-5  1,840円(4)",2=5=7  640円(3),2=5  260円(3)  2=7  140円(2)  5=7  570円(8) / 2=5  260円(3)  2=7  140円(2)  5=7  570円(8),6,市川 博章  静,岡,50,80,A3,追,3.93,69.0,▲,3,0.0,14.8,33.3,0,0,4,12.2,,１/４車輪,,
1220260730030001,aomori,2026-08-01,1,○7 ◎2 △3 ×1 注5 ▲6,2-7  320円(1),"2-7-5  1,840円(4)",2=5=7  640円(3),2=5  260円(3)  2=7  140円(2)  5=7  570円(8) / 2=5  260円(3)  2=7  140円(2)  5=7  570円(8),7,吉松 賢二  群,馬,40,90,A3,両,3.86,71.73,○,5,19.5,43.9,56.0,11,1,2,12.6,逃,３/４車身,,
1220260730030002,aomori,2026-08-01,2,◎2 ○3 △4 ×7 注1 ▲5,2-4  930円(3),"2-4-3  2,360円(7)",2=3=4  280円(1),2=3  100円(1)  2=4  170円(3)  3=4  210円(5) / 2=3  100円(1)  2=4  170円(3)  3=4  210円(5),1,後田 康成  長,崎,53,75,A3,追,3.92,71.33,注,2,25.0,32.1,39.2,0,0,6,12.5,,５車身,,
1220260730030002,aomori,2026-08-01,2,◎2 ○3 △4 ×7 注1 ▲5,2-4  930円(3),"2-4-3  2,360円(7)",2=3=4  280円(1),2=3  100円(1)  2=4  170円(3)  3=4  210円(5) / 2=3  100円(1)  2=4  170円(3)  3=4  210円(5),2,中 秀平,神奈川,27,127,A3,逃,3.85,74.24,◎,6,21.2,45.4,66.6,11,2,1,12.0,捲,,,
1220260730030002,aomori,2026-08-01,2,◎2 ○3 △4 ×7 注1 ▲5,2-4  930円(3),"2-4-3  2,360円(7)",2=3=4  280円(1),2=3  100円(1)  2=4  170円(3)  3=4  210円(5) / 2=3  100円(1)  2=4  170円(3)  3=4  210円(5),3,齊藤 紳一朗  青,森,49,82,A3,追,3.79,75.11,○,5,0.0,7.4,11.1,0,0,3,11.9,,１車輪,,
1220260730030002,aomori,2026-08-01,2,◎2 ○3 △4 ×7 注1 ▲5,2-4  930円(3),"2-4-3  2,360円(7)",2=3=4  280円(1),2=3  100円(1)  2=4  170円(3)  3=4  210円(5) / 2=3  100円(1)  2=4  170円(3)  3=4  210円(5),4,五反田 豊和  宮,崎,49,80,A3,両,3.92,68.4,△,4,11.1,33.3,37.0,5,1,2,11.8,差,１車身１/２,,
1220260730030002,aomori,2026-08-01,2,◎2 ○3 △4 ×7 注1 ▲5,2-4  930円(3),"2-4-3  2,360円(7)",2=3=4  280円(1),2=3  100円(1)  2=4  170円(3)  3=4  210円(5) / 2=3  100円(1)  2=4  170円(3)  3=4  210円(5),5,近内 三孝  栃,木,30,129,A3,逃,3.92,68.0,▲,3,0.0,0.0,0.0,0,0,4,12.4,,６車身,,
